Date,Open,High,Low,Close,Adj Close,Volume,Company,Year,Month,Day
2023-03-08,139.5,140.5,138.0,139.5,134.131485,2237880,3,2023,3,8
2023-03-09,139.5,140.5,138.5,139.0,133.650726,1371769,3,2023,3,9
2023-03-10,137.5,138.0,134.5,137.0,131.727692,4053690,3,2023,3,10
2023-03-13,136.5,140.5,135.5,138.0,132.689209,4626747,3,2023,3,13
2023-03-14,137.0,140.0,134.0,136.5,131.246933,4585885,3,2023,3,14
2023-03-15,136.5,140.0,135.5,139.0,133.650726,2930350,3,2023,3,15
2023-03-16,141.0,144.0,140.0,142.5,137.016037,7993636,3,2023,3,16
2023-03-17,144.5,145.0,139.0,145.0,139.41983,6311560,3,2023,3,17
2023-03-20,143.5,144.0,139.5,140.5,135.093002,3711322,3,2023,3,20
2023-03-21,141.5,142.0,139.5,140.0,134.612244,1424846,3,2023,3,21
2023-03-22,141.0,144.5,141.0,144.5,138.939072,3045491,3,2023,3,22
2023-03-23,143.0,144.5,142.5,144.0,138.458313,966806,3,2023,3,23
2023-03-24,143.5,144.0,141.5,144.0,138.458313,2496018,3,2023,3,24
2023-03-27,144.0,144.0,142.0,143.5,137.977554,1170570,3,2023,3,27
2023-03-28,143.5,143.5,141.5,142.5,137.016037,1232844,3,2023,3,28
2023-03-29,142.0,143.5,141.5,143.0,137.496796,1849070,3,2023,3,29
2023-03-30,145.5,147.0,142.5,143.5,137.977554,3930683,3,2023,3,30
2023-03-31,144.0,144.5,142.5,144.0,138.458313,2959306,3,2023,3,31
2023-04-06,144.0,145.0,142.0,145.0,139.41983,1519810,3,2023,4,6
2023-04-07,145.0,145.0,143.0,144.0,138.458313,831402,3,2023,4,7
2023-04-10,144.0,146.0,143.5,146.0,140.381332,1655432,3,2023,4,10
2023-04-11,146.5,146.5,144.5,146.5,140.862091,1613559,3,2023,4,11
2023-04-12,147.0,147.0,145.0,146.5,140.862091,2084465,3,2023,4,12
2023-04-13,146.0,146.0,145.0,146.0,140.381332,1538703,3,2023,4,13
2023-04-14,146.0,147.5,145.0,147.0,141.34285,2153356,3,2023,4,14
2023-04-17,146.0,147.5,145.5,147.5,141.823608,1025525,3,2023,4,17
2023-04-18,147.5,148.0,146.0,147.5,141.823608,1817643,3,2023,4,18
2023-04-19,147.5,147.5,145.0,146.5,140.862091,1644673,3,2023,4,19
2023-04-20,145.5,146.5,144.0,145.0,139.41983,1219921,3,2023,4,20
2023-04-21,145.0,146.0,143.5,144.0,138.458313,1504213,3,2023,4,21
2023-04-24,144.5,146.0,142.5,143.0,137.496796,1123685,3,2023,4,24
2023-04-25,144.0,144.5,139.0,141.0,135.573761,2696842,3,2023,4,25
2023-04-26,141.5,143.5,140.5,143.0,137.496796,1919521,3,2023,4,26
2023-04-27,144.0,145.5,142.5,145.0,139.41983,1567714,3,2023,4,27
2023-04-28,146.0,146.5,144.5,145.5,139.900574,1465289,3,2023,4,28
2023-05-02,145.0,147.0,141.0,143.0,137.496796,3265090,3,2023,5,2
2023-05-03,143.5,146.0,141.5,144.0,138.458313,2998598,3,2023,5,3
2023-05-04,144.0,146.5,142.5,145.5,139.900574,3633944,3,2023,5,4
2023-05-05,145.5,145.5,142.0,142.5,137.016037,3170140,3,2023,5,5
2023-05-08,143.5,144.0,142.5,144.0,138.458313,1693557,3,2023,5,8
2023-05-09,144.0,146.0,143.5,146.0,140.381332,2304652,3,2023,5,9
2023-05-10,145.0,145.5,143.0,145.0,139.41983,1766932,3,2023,5,10
